batch,day,window,modelled,measured,log10 ratio
1,0.0,held out,2.929597850538497e-15,3.72984338002527e-07,-8.104882587404271
1,10.0,fitted,9.122285647791225e-06,3.851781162845239e-05,-0.6255579376544439
1,56.0,fitted,5.5707803035329545e-05,0.00030141988690938045,-0.733255871156907
1,91.0,held out,6.431231576352594e-05,0.000317136384277087,-0.6929519224446111
1,119.0,held out,7.583270531029385e-05,0.0005964106731896016,-0.8956888572609072
2,0.0,held out,2.929597850538497e-15,3.422227644645141e-07,-8.067500886875418
2,10.0,fitted,9.104421409460212e-06,4.315249627838636e-05,-0.6757535723963737
2,56.0,fitted,5.4842976997117696e-05,0.000123716658413292,-0.3533071599817664
2,91.0,held out,6.21072986132713e-05,0.00013986005446990488,-0.35255105323495706
2,119.0,held out,7.239410052208447e-05,0.0001277891063027515,-0.2467906564112185
3,0.0,held out,2.929597850538497e-15,4.18283767944896e-07,-8.154663003222016
3,10.0,fitted,2.7266538028194918e-08,1.4662805726102452e-06,-1.7305870804178747
3,56.0,fitted,2.106306503777104e-06,9.914984805518633e-07,0.3272295157594772
3,91.0,held out,6.620594567858278e-06,5.731257745772846e-07,1.0626470533970511
3,119.0,held out,1.1780126454935011e-05,7.050133592387482e-07,1.222952605974348
4,0.0,held out,2.929597850538497e-15,3.244359251945569e-07,-8.044320929857808
4,10.0,fitted,2.762283068670102e-08,1.4501448002164669e-06,-1.7201431882461002
4,56.0,fitted,2.132673852565661e-06,8.734512199055942e-07,0.38768578863501557
4,91.0,held out,6.698337910157673e-06,5.860471816906164e-07,1.0580344707951548
4,119.0,held out,1.1908468278064781e-05,7.049170130530734e-07,1.2277179118038803
5,0.0,held out,2.929597850538497e-15,4.20675632001266e-07,-8.157139347549657
5,10.0,fitted,1.2533679197060366e-07,1.7702541274639457e-06,-1.1499570410256528
5,56.0,fitted,8.581111035855655e-06,2.3754108842386484e-06,0.5578047794932299
5,91.0,held out,2.2742399045228976e-05,2.4073825790830436e-06,0.9752911620800214
5,119.0,held out,3.3907928895521116e-05,3.027243043909949e-06,1.0492539738434303
6,0.0,held out,2.929597850538497e-15,4.3349514810442125e-07,-8.170176232683737
6,10.0,fitted,1.255399281826386e-07,1.6668598545317308e-06,-1.1231172110844683
6,56.0,fitted,8.593164245403825e-06,1.8870659181067794e-06,0.6583660417550673
6,91.0,held out,2.2767510075032407e-05,1.6066900421225522e-06,1.1513834353904884
6,119.0,held out,3.3935455432343374e-05,3.923253299380015e-06,0.9370073333831683
7,0.0,held out,2.929597850538497e-15,5.850455145988755e-07,-8.3003816457519
7,10.0,fitted,7.062291983204714e-07,5.354569315295292e-06,-0.8797788758560615
7,56.0,fitted,3.085586208912316e-05,2.51251414030617e-05,0.08922917015123881
7,91.0,held out,4.8122175001767774e-05,3.451263736286081e-05,0.14436709995905675
7,119.0,held out,5.0621881887160685e-05,5.13372647113523e-05,-0.00609443923022103
8,0.0,held out,2.929597850538497e-15,4.90662271746725e-07,-8.223974656958681
8,10.0,fitted,7.059718038274111e-07,4.414047930699625e-06,-0.7960496888261603
8,56.0,fitted,3.084947552121316e-05,1.3106964884766828e-05,0.3717456489946579
8,91.0,held out,4.811900937421486e-05,1.6034158750038047e-05,0.47727049882225836
8,119.0,held out,5.0620230841123946e-05,1.9026504715583052e-05,0.42496510823834394
