threshold,interval,fit score,points
2.0,1.0,0.8154250923846926,14
2.0,0.75,0.848079375577105,14
1.5,1.0,0.9181430256038212,14
1.25,1.0,1.240920631165973,14
2.0,0.5,1.3553366563464726,14
1.5,0.75,1.4361540111513846,14
2.0,0.3,1.7144061457096997,14
1.25,0.75,1.7882070756035713,14
1.0,1.0,1.7944394038142948,14
1.5,0.5,1.8996014629472948,14
1.5,0.3,2.3224732027622603,14
1.25,0.5,2.336161162074903,14
1.0,0.75,2.3383934451320614,14
1.25,0.3,2.3442987051328488,14
0.75,1.0,2.3647632571022017,14
1.0,0.5,2.3788596476618653,14
0.75,0.75,2.4216532177265826,14
0.5,1.0,2.566422657386996,14
1.0,0.3,2.7333593241966603,14
0.75,0.5,3.0782455784641347,14
0.75,0.3,3.1028429195440266,14
0.5,0.5,3.1028429195440266,14
0.5,0.3,3.1028429195440266,14
0.5,0.75,3.102858875248894,14
