Sample ID,Calc Concentration (ppm),days_since_start,Gas,Water Activity,Moles
exp_02_06_01,-0.0700280632328578,1.0,CH4,0.6918,-2.911128243374965e-10
exp_02_06_01,,1.0,N2O,0.6918,
exp_02_06_02,3349.5865178031504,1.0,CO2,0.6918,1.3924526062045163e-05
exp_02_06_02,-0.0700280632328578,1.0,CH4,0.6918,-2.911128243374965e-10
exp_02_06_02,,1.0,N2O,0.6918,
exp_02_06_03,3274.3917153705843,1.0,CO2,0.6918,1.3611934647959426e-05
exp_02_06_03,-0.0700280632328578,1.0,CH4,0.6918,-2.911128243374965e-10
exp_02_06_03,,1.0,N2O,0.6918,
exp_02_06_04,3108.9631500189394,1.0,CO2,0.6918,1.2924233536970809e-05
exp_02_06_04,-0.0700280632328578,1.0,CH4,0.6918,-2.911128243374965e-10
exp_02_06_04,,1.0,N2O,0.6918,
exp_02_06_05,3484.937162181769,1.0,CO2,0.6918,1.4487190607399486e-05
exp_02_06_05,-0.0700280632328578,1.0,CH4,0.6918,-2.911128243374965e-10
exp_02_06_05,,1.0,N2O,0.6918,
exp_02_01_01,51579.532798050925,7.0,CO2,0.95648,0.00021442065905663584
exp_02_01_01,4.5664820050983135,7.0,CH4,0.95648,1.8983267741821193e-08
exp_02_01_01,,7.0,N2O,0.95648,
exp_02_01_02,91282.38848244573,7.0,CO2,0.95648,0.00037946892569390417
exp_02_01_02,4.08684303251233,7.0,CH4,0.95648,1.6989366303942704e-08
exp_02_01_02,,7.0,N2O,0.95648,
exp_02_01_03,40901.87085262656,7.0,CO2,0.95648,0.00017003267825646139
exp_02_01_03,5.969870110072116,7.0,CH4,0.95648,2.4817275652650832e-08
exp_02_01_03,,7.0,N2O,0.95648,
exp_02_01_04,50526.805563995,7.0,CO2,0.95648,0.00021004437925943554
exp_02_01_04,6.325158237913585,7.0,CH4,0.95648,2.6294239680708966e-08
exp_02_01_04,,7.0,N2O,0.95648,
exp_02_01_05,43909.6629499292,7.0,CO2,0.95648,0.00018253633481989082
exp_02_01_05,6.698210772147127,7.0,CH4,0.95648,2.784505191017001e-08
exp_02_01_05,,7.0,N2O,0.95648,
exp_02_02_01,41353.03966722196,7.0,CO2,0.9197,0.00017190822674097582
exp_02_02_01,1.5483093590850336,7.0,CH4,0.9197,6.436458323467317e-09
exp_02_02_01,,7.0,N2O,0.9197,
exp_02_02_02,11936.832955602176,7.0,CO2,0.9197,4.9622465550636135e-05
exp_02_02_02,3.2163871193007307,7.0,CH4,0.9197,1.3370804435200269e-08
exp_02_02_02,,7.0,N2O,0.9197,
exp_02_02_03,45263.16939371538,7.0,CO2,0.9197,0.00018816298027343403
exp_02_02_03,1.6033790189004613,7.0,CH4,0.9197,6.6653877478163275e-09
exp_02_02_03,,7.0,N2O,0.9197,
exp_02_02_04,4161.690384074862,7.0,CO2,0.9197,1.7300513334171103e-05
exp_02_02_04,3.1275650873403635,7.0,CH4,0.9197,1.3001563428185735e-08
exp_02_02_04,,7.0,N2O,0.9197,
exp_02_02_05,45714.33820831078,7.0,CO2,0.9197,0.00019003852875794846
exp_02_02_05,3.394031183221465,7.0,CH4,0.9197,1.4109286449229338e-08
exp_02_02_05,,7.0,N2O,0.9197,
exp_02_03_01,36841.35152126801,7.0,CO2,0.8789,0.0001531527418958317
exp_02_03_01,2.363695612481205,7.0,CH4,0.8789,9.826090767860742e-09
exp_02_03_01,,7.0,N2O,0.8789,
exp_02_03_02,37593.29954559366,7.0,CO2,0.8789,0.00015627865603668904
exp_02_03_02,1.3475715668546036,7.0,CH4,0.8789,5.601973647614469e-09
exp_02_03_02,,7.0,N2O,0.8789,
exp_02_03_03,33232.00100450484,7.0,CO2,0.8789,0.0001381483540197164
exp_02_03_03,3.0920362745562167,7.0,CH4,0.8789,1.2853867025379922e-08
exp_02_03_03,,7.0,N2O,0.8789,
exp_02_03_04,29923.42969747194,7.0,CO2,0.8789,0.00012439433179994402
exp_02_03_04,1.4221820737013122,7.0,CH4,0.8789,5.912136093506678e-09
exp_02_03_04,,7.0,N2O,0.8789,
exp_02_03_05,,7.0,CO2,0.8789,
exp_02_03_05,,7.0,CH4,0.8789,
exp_02_03_05,,7.0,N2O,0.8789,
exp_02_04_01,13260.261478415336,7.0,CO2,0.7194,5.512407443854508e-05
exp_02_04_01,0.6210073454187994,7.0,CH4,0.7194,2.5815822102355796e-09
exp_02_04_01,,7.0,N2O,0.7194,
exp_02_04_02,14508.49519879593,7.0,CO2,0.7194,6.031309191236829e-05
exp_02_04_02,0.9478724230329509,7.0,CH4,0.7194,3.940389116049066e-09
exp_02_04_02,,7.0,N2O,0.7194,
exp_02_04_03,14538.573119768957,7.0,CO2,0.7194,6.043812847800258e-05
exp_02_04_03,1.091764114808746,7.0,CH4,0.7194,4.538559547412612e-09
exp_02_04_03,,7.0,N2O,0.7194,
exp_02_04_04,16689.144469340343,7.0,CO2,0.7194,6.937824292085461e-05
exp_02_04_04,0.7560168339985577,7.0,CH4,0.7194,3.1428285408976714e-09
exp_02_04_04,,7.0,N2O,0.7194,
exp_02_04_05,15335.638025554155,7.0,CO2,0.7194,6.375159746731138e-05
exp_02_04_05,1.9373498590714422,7.0,CH4,0.7194,8.053733934190976e-09
exp_02_04_05,,7.0,N2O,0.7194,
exp_02_05_01,13982.131581767968,7.0,CO2,0.7155,5.812495201376813e-05
exp_02_05_01,0.8412859846805103,7.0,CH4,0.7155,3.4972999076316245e-09
exp_02_05_01,,7.0,N2O,0.7155,
exp_02_05_02,14072.365344687048,7.0,CO2,0.7155,5.850006171067102e-05
exp_02_05_02,0.8288509002060589,7.0,CH4,0.7155,3.44560616664959e-09
exp_02_05_02,,7.0,N2O,0.7155,
exp_02_05_03,7635.6902564594075,7.0,CO2,0.7155,3.174223666493208e-05
exp_02_05_03,1.070446827138258,7.0,CH4,0.7155,4.449941705729123e-09
exp_02_05_03,,7.0,N2O,0.7155,
exp_02_05_04,10583.326511815989,7.0,CO2,0.7155,4.39958200970929e-05
exp_02_05_04,1.070446827138258,7.0,CH4,0.7155,4.449941705729123e-09
exp_02_05_04,,7.0,N2O,0.7155,
exp_02_05_05,8447.794122731118,7.0,CO2,0.7155,3.5118223937058016e-05
exp_02_05_05,0.8235215782884369,7.0,CH4,0.7155,3.423451706228718e-09
exp_02_05_05,,7.0,N2O,0.7155,
exp_02_06_01,9711.066803598225,7.0,CO2,0.6918,4.036975969369837e-05
exp_02_06_01,0.752463952720143,7.0,CH4,0.6918,3.12805890061709e-09
exp_02_06_01,,7.0,N2O,0.6918,
exp_02_06_02,9771.22264554428,7.0,CO2,0.6918,4.061983282496697e-05
exp_02_06_02,0.9869541170955126,7.0,CH4,0.6918,4.102855159135461e-09
exp_02_06_02,,7.0,N2O,0.6918,
exp_02_06_03,9440.365514840989,7.0,CO2,0.6918,3.9244430602989726e-05
exp_02_06_03,1.431064276897349,7.0,CH4,0.6918,5.949060194208132e-09
exp_02_06_03,,7.0,N2O,0.6918,
exp_02_06_04,7575.534414513354,7.0,CO2,0.6918,3.149216353366349e-05
exp_02_06_04,0.7275937837712402,7.0,CH4,0.6918,3.0246714186530205e-09
exp_02_06_04,,7.0,N2O,0.6918,
exp_02_06_05,9335.092791435396,7.0,CO2,0.6918,3.8806802623269694e-05
exp_02_06_05,1.30316055087442,7.0,CH4,0.6918,5.4173531441072024e-09
exp_02_06_05,,7.0,N2O,0.6918,
exp_02_01_01,64813.818026182526,14.0,CO2,0.95648,0.00026943674793572525
exp_02_01_01,5.934341297287969,14.0,CH4,0.95648,2.4669579249845017e-08
exp_02_01_01,,14.0,N2O,0.95648,
exp_02_01_02,63911.480396991734,14.0,CO2,0.95648,0.00026568565096669644
exp_02_01_02,5.756697233367234,14.0,CH4,0.95648,2.3931097235815947e-08
exp_02_01_02,,14.0,N2O,0.95648,
exp_02_01_03,64061.87000185686,14.0,CO2,0.95648,0.0002663108337948679
exp_02_01_03,6.342922644305658,14.0,CH4,0.95648,2.6368087882111873e-08
exp_02_01_03,,14.0,N2O,0.95648,
exp_02_01_04,62106.80513861015,14.0,CO2,0.95648,0.0002581834570286388
exp_02_01_04,6.183042986776997,14.0,CH4,0.95648,2.5703454069485714e-08
exp_02_01_04,,14.0,N2O,0.95648,
exp_02_01_05,59249.402646172646,14.0,CO2,0.95648,0.00024630498329338083
exp_02_01_05,7.017970087204449,14.0,CH4,0.95648,2.9174319535422334e-08
exp_02_01_05,,14.0,N2O,0.95648,
exp_02_02_01,53233.81845156737,14.0,CO2,0.9197,0.000221297670166522
exp_02_02_01,3.180858306516584,14.0,CH4,0.9197,1.3223108032394456e-08
exp_02_02_01,,14.0,N2O,0.9197,
