Sample ID,Calc Concentration (ppm),days_since_start,Gas,Water Activity,Moles
exp_01_02_04,22.353928312132492,0.0,CH4,0.9046306353,9.292724809972227e-08
exp_01_02_05,5879.1585672752735,0.0,CO2,0.9046306353,2.444017978273093e-05
exp_01_02_05,0.9785997176477711,0.0,N2O,0.9046306353,4.068125185085079e-09
exp_01_02_05,25.143178273580073,0.0,CH4,0.9046306353,1.04522405763304e-07
exp_01_03_01,3686.4254650724374,0.0,CO2,0.7726987314,1.532479522214413e-05
exp_01_03_01,0.9823735459440508,0.0,N2O,0.7726987314,4.0838133215717566e-09
exp_01_03_01,44.47150195009007,0.0,CH4,0.7726987314,1.8487194900953247e-07
exp_01_03_02,5795.890221622001,0.0,CO2,0.7726987314,2.409402593865801e-05
exp_01_03_02,0.9784690002483947,0.0,N2O,0.7726987314,4.067581781347123e-09
exp_01_03_02,62.93555099065857,0.0,CH4,0.7726987314,2.616286265008483e-07
exp_01_03_03,3991.742732467769,0.0,CO2,0.7726987314,1.6594025983744823e-05
exp_01_03_03,0.9782041701925155,0.0,N2O,0.7726987314,4.066480859488409e-09
exp_01_03_03,50.36428355878215,0.0,CH4,0.7726987314,2.0936876097484604e-07
exp_01_03_04,3797.4499259434674,0.0,CO2,0.7726987314,1.578633368090802e-05
exp_01_03_04,0.9782041701925155,0.0,N2O,0.7726987314,4.066480859488409e-09
exp_01_03_04,33.51092815792282,0.0,CH4,0.7726987314,1.3930787875404927e-07
exp_01_03_05,5546.0851846621845,0.0,CO2,0.7726987314,2.305556440643926e-05
exp_01_03_05,0.9787508065899073,0.0,N2O,0.7726987314,4.068753275119858e-09
exp_01_03_05,22.039646626335582,0.0,CH4,0.7726987314,9.16207514615722e-08
exp_01_04_01,2298.6197041845667,0.0,CO2,0.6958019354,9.555564487595526e-06
exp_01_04_01,0.9782245417352754,0.0,N2O,0.6958019354,4.066565545785233e-09
exp_01_04_01,21.646794519089443,0.0,CH4,0.6958019354,8.998763066388463e-08
exp_01_04_02,1218.906822213803,0.0,CO2,0.6958019354,5.06710297611671e-06
exp_01_04_02,0.9782805634778652,0.0,N2O,0.6958019354,4.0667984331014995e-09
exp_01_04_02,17.48256218228038,0.0,CH4,0.6958019354,7.26765502083964e-08
exp_01_04_03,1524.2240896091346,0.0,CO2,0.6958019354,6.336333737717403e-06
exp_01_04_03,0.9784774883912113,0.0,N2O,0.6958019354,4.067617067304134e-09
exp_01_04_03,14.889738274455866,0.0,CH4,0.6958019354,6.189795294365842e-08
exp_01_04_04,1465.936247651844,0.0,CO2,0.6958019354,6.094026046866362e-06
exp_01_04_04,0.9782160535924587,0.0,N2O,0.6958019354,4.0665302598282235e-09
exp_01_04_04,18.543262871844952,0.0,CH4,0.6958019354,7.708597636215283e-08
exp_01_04_05,1057.92135395081,0.0,CO2,0.6958019354,4.397872210909072e-06
exp_01_04_05,0.9781922867925722,0.0,N2O,0.6958019354,4.066431459148595e-09
exp_01_04_05,13.279044634746699,0.0,CH4,0.6958019354,5.520215767313938e-08
exp_01_05_01,2007.1804943981138,0.0,CO2,0.6089838215,8.344026033340317e-06
exp_01_05_01,0.9784010951058616,0.0,N2O,0.6089838215,4.0672994936910435e-09
exp_01_05_01,35.31804785125505,0.0,CH4,0.6089838215,1.468202344234121e-07
exp_01_05_02,2437.4002802733535,0.0,CO2,0.6089838215,1.0132487561050385e-05
exp_01_05_02,0.9782160535924587,0.0,N2O,0.6089838215,4.0665302598282235e-09
exp_01_05_02,36.65374501589192,0.0,CH4,0.6089838215,1.523728451355498e-07
exp_01_05_03,2742.7175476686853,0.0,CO2,0.6089838215,1.140171832265108e-05
exp_01_05_03,0.9783196089348218,0.0,N2O,0.6089838215,4.066960748503746e-09
exp_01_05_03,48.007170915305316,0.0,CH4,0.6089838215,1.995700361887206e-07
exp_01_05_04,1135.6384765605308,0.0,CO2,0.6089838215,4.720949132043793e-06
exp_01_05_04,0.9794264627581122,0.0,N2O,0.6089838215,4.07156203729786e-09
exp_01_05_04,42.90009352110552,0.0,CH4,0.6089838215,1.783394658187822e-07
exp_01_05_05,1812.8876878738117,0.0,CO2,0.6089838215,7.536333730503513e-06
exp_01_05_05,0.9782347275066554,0.0,N2O,0.6089838215,4.066607888933646e-09
exp_01_05_05,32.72522394343054,0.0,CH4,0.6089838215,1.3604163715867413e-07
exp_01_06_01,2520.6686259266257,0.0,CO2,0.4539390818,1.0478641405123301e-05
exp_01_06_01,0.978733830304274,0.0,N2O,0.4539390818,4.068682703205837e-09
exp_01_06_01,34.0216358973428,0.0,CH4,0.4539390818,1.414309357910431e-07
exp_01_06_02,1948.8926524408232,0.0,CO2,0.4539390818,8.101718342489276e-06
exp_01_06_02,0.9781464508213622,0.0,N2O,0.4539390818,4.06624091498074e-09
exp_01_06_02,38.225153444876476,0.0,CH4,0.4539390818,1.5890532832630012e-07
exp_01_06_03,2853.742008539715,0.0,CO2,0.4539390818,1.1863256781414967e-05
exp_01_06_03,0.9788153164753137,0.0,N2O,0.4539390818,4.069021448393134e-09
exp_01_06_03,64.50695941964312,0.0,CH4,0.4539390818,2.681611096915986e-07
exp_01_06_04,1649.126608089043,0.0,CO2,0.4539390818,6.8555645038267776e-06
exp_01_06_04,0.978268680077922,0.0,N2O,0.4539390818,4.066749032761686e-09
exp_01_06_04,46.04291037907463,0.0,CH4,0.4539390818,1.9140443220028278e-07
exp_01_06_05,2270.863588966809,0.0,CO2,0.4539390818,9.440179872904551e-06
exp_01_06_05,0.979482484500702,0.0,N2O,0.4539390818,4.071794924614126e-09
exp_01_06_05,42.90009352110552,0.0,CH4,0.4539390818,1.783394658187822e-07
exp_01_01_01,10153.600310809916,7.0,CO2,0.996141297,4.220941044514063e-05
exp_01_01_01,0.9802345339542566,7.0,N2O,0.996141297,4.074921260405219e-09
exp_01_01_01,1116.564902624801,7.0,CH4,0.996141297,4.641658605898912e-06
exp_01_01_02,2964.7664694107443,7.0,CO2,0.996141297,1.2324795240178854e-05
exp_01_01_02,0.9783111207920052,7.0,N2O,0.996141297,4.066925462546736e-09
exp_01_01_02,1446.5606727115573,7.0,CH4,0.996141297,6.013480075956472e-06
exp_01_01_03,9071.111817317376,7.0,CO2,0.996141297,3.770941047219272e-05
exp_01_01_03,0.9785912295049544,7.0,N2O,0.996141297,4.068089899128068e-09
exp_01_01_03,664.7849792917423,7.0,CH4,0.996141297,2.7635696885582064e-06
exp_01_01_04,11208.332689084697,7.0,CO2,0.996141297,4.659402580339757e-05
exp_01_01_04,0.9793568599870157,7.0,N2O,0.996141297,4.071272692450377e-09
exp_01_01_04,1108.7078604798785,7.0,CH4,0.996141297,4.608996189945162e-06
exp_01_01_05,10764.234845600578,7.0,CO2,0.996141297,4.474787196834202e-05
exp_01_01_05,0.9784927670482814,7.0,N2O,0.996141297,4.067680582026752e-09
exp_01_01_05,1309.0624351754088,7.0,CH4,0.996141297,5.441887796765822e-06
exp_01_02_01,11374.869380391241,7.0,CO2,0.9046306353,4.72863334915434e-05
exp_01_02_01,0.9876022419191034,7.0,N2O,0.9046306353,4.105549471089961e-09
exp_01_02_01,62.93555099065857,7.0,CH4,0.9046306353,2.616286265008483e-07
exp_01_02_02,10903.015421689366,7.0,CO2,0.9046306353,4.532479504179688e-05
exp_01_02_02,0.9788594548179603,7.0,N2O,0.9046306353,4.069204935369587e-09
exp_01_02_02,91.61375481962666,7.0,CH4,0.9046306353,3.8084644473204096e-07
exp_01_02_03,11319.357149955727,7.0,CO2,0.9046306353,4.705556426216146e-05
exp_01_02_03,0.9790869370454464,7.0,N2O,0.9046306353,4.070150599017457e-09
exp_01_02_03,55.47136095298195,7.0,CH4,0.9046306353,2.3059933134478447e-07
exp_01_02_04,11513.649956480029,7.0,CO2,0.9046306353,4.786325656499826e-05
exp_01_02_04,0.9784163737629316,7.0,N2O,0.9046306353,4.067363008413661e-09
exp_01_02_04,83.36386056745776,7.0,CH4,0.9046306353,3.46550907980602e-07
exp_01_02_05,,7.0,CO2,0.9046306353,
exp_01_02_05,,7.0,N2O,0.9046306353,
exp_01_02_05,,7.0,CH4,0.9046306353,
exp_01_03_01,13290.041330416503,7.0,CO2,0.7726987314,5.5247871905220476e-05
exp_01_03_01,0.9781464508213622,7.0,N2O,0.7726987314,4.06624091498074e-09
exp_01_03_01,73.5425578863043,7.0,CH4,0.7726987314,3.057228880384127e-07
exp_01_03_02,11458.137726044513,7.0,CO2,0.7726987314,4.763248733561632e-05
exp_01_03_02,0.9785725555907578,7.0,N2O,0.7726987314,4.0680122700226464e-09
exp_01_03_02,162.71998623117767,7.0,CH4,0.7726987314,6.764413091134912e-07
exp_01_03_03,10986.283767342638,7.0,CO2,0.7726987314,4.5670948885869796e-05
exp_01_03_03,0.9784350476771281,7.0,N2O,0.7726987314,4.067440637519083e-09
exp_01_03_03,413.3596306542139,7.0,CH4,0.7726987314,1.7183723780381615e-06
exp_01_03_04,11069.55211299591,7.0,CO2,0.7726987314,4.601710272994271e-05
exp_01_03_04,0.9791599350736696,7.0,N2O,0.7726987314,4.070454058247744e-09
exp_01_03_04,90.04234639064211,7.0,CH4,0.7726987314,3.743139615412907e-07
exp_01_03_05,13484.334136940804,7.0,CO2,0.7726987314,5.605556420805728e-05
exp_01_03_05,0.9792176544448228,7.0,N2O,0.7726987314,4.070694002755412e-09
exp_01_03_05,165.46995098190067,7.0,CH4,0.7726987314,6.878731546973043e-07
exp_01_04_01,6628.573678154724,7.0,CO2,0.6958019354,2.7555564379387174e-05
exp_01_04_01,0.9811173008071876,7.0,N2O,0.6958019354,4.0785909999342664e-09
exp_01_04_01,78.6496352805041,7.0,CH4,0.6958019354,3.2695345840835114e-07
exp_01_04_02,8488.23339774447,7.0,CO2,0.6958019354,3.5286333563682305e-05
exp_01_04_02,0.9792787690731025,7.0,N2O,0.6958019354,4.070948061645885e-09
exp_01_04_02,128.9347050080098,7.0,CH4,0.6958019354,5.359929205123601e-07
exp_01_04_03,7877.598862953807,7.0,CO2,0.6958019354,3.274787204048092e-05
exp_01_04_03,0.9798780319559576,7.0,N2O,0.6958019354,4.073439250210795e-09
exp_01_04_03,117.54199389787178,7.0,CH4,0.6958019354,4.886324173794206e-07
exp_01_04_04,5990.183028146303,7.0,CO2,0.6958019354,2.4901718241494814e-05
exp_01_04_04,0.9792533046446527,7.0,N2O,0.6958019354,4.070842203774854e-09
exp_01_04_04,84.54241688919618,7.0,CH4,0.6958019354,3.514502703736647e-07
exp_01_04_05,6434.280871630422,7.0,CO2,0.6958019354,2.6747872076550367e-05
exp_01_04_05,0.9782109607067687,7.0,N2O,0.6958019354,4.066509088254017e-09
exp_01_04_05,79.82819160224251,7.0,CH4,0.6958019354,3.3185282080141383e-07
exp_01_05_01,9792.770812979068,7.0,CO2,0.6089838215,4.070941045415799e-05
exp_01_05_01,0.9783179113062584,7.0,N2O,0.6089838215,4.066953691312344e-09
exp_01_05_01,315.1466038426793,7.0,CH4,0.6089838215,1.3100921786162687e-06
exp_01_05_02,3048.0348150640166,7.0,CO2,0.6089838215,1.267094908425177e-05
exp_01_05_02,0.9805231308100225,7.0,N2O,0.6089838215,4.076120982943561e-09
exp_01_05_02,186.291112665946,7.0,CH4,0.6089838215,7.744285569747456e-07
exp_01_05_03,8155.160015131381,7.0,CO2,0.6089838215,3.390171818739064e-05
exp_01_05_03,0.9783162136776952,7.0,N2O,0.6089838215,4.066946634120943e-09
exp_01_05_03,227.14773181954436,7.0,CH4,0.6089838215,9.442731199342529e-07
exp_01_05_04,10903.015421689366,7.0,CO2,0.6089838215,4.532479504179688e-05
exp_01_05_04,0.9790631702455597,7.0,N2O,0.6089838215,4.070051798337828e-09
exp_01_05_04,282.932731048496,7.0,CH4,0.6089838215,1.176176273205888e-06
exp_01_05_05,9681.746352108039,7.0,CO2,0.6089838215,4.02478719953941e-05
exp_01_05_05,0.978485976534028,7.0,N2O,0.6089838215,4.0676523532611435e-09
exp_01_05_05,232.6476613209903,7.0,CH4,0.6089838215,9.671368111018788e-07
exp_01_06_01,8543.745628179986,7.0,CO2,0.4539390818,3.5517102793064255e-05
exp_01_06_01,0.9788543619322704,7.0,N2O,0.4539390818,4.0691837637953805e-09
exp_01_06_01,241.29040768040534,7.0,CH4,0.4539390818,1.0030654686510055e-06
exp_01_06_02,7822.086632518292,7.0,CO2,0.4539390818,3.251710281109898e-05
exp_01_06_02,0.9784265595343115,7.0,N2O,0.4539390818,4.067405351562073e-09
exp_01_06_02,143.86308508336305,7.0,CH4,0.4539390818,5.980515108244879e-07
exp_01_06_03,8266.18447600241,7.0,CO2,0.4539390818,3.4363256646154527e-05
exp_01_06_03,0.9801666288117235,7.0,N2O,0.4539390818,4.074638972749138e-09
exp_01_06_03,198.46952799057627,7.0,CH4,0.4539390818,8.250553017030602e-07
exp_01_06_04,7100.4276368566,7.0,CO2,0.4539390818,2.95171028291337e-05
exp_01_06_04,0.9797082690996247,7.0,N2O,0.4539390818,4.072733531070594e-09
exp_01_06_04,124.22047972105614,7.0,CH4,0.4539390818,5.163954709401093e-07
exp_01_06_05,8044.1355542603515,7.0,CO2,0.4539390818,3.344017972862675e-05
