variant,variant_label,batch_name,experiment,batch_id,brine,water_activity,ionic_strength,chloride,sulfate,ch4_moles,ch4_per_starting_c
no_smoothstep,Fitted Cl- smoothstep off,Exp003_B05_SW_M,Exp003,5,SW_M,0.919646,2.9657275210875915,2.328450879328879,0.119922989141721,4.8555890145293574e-05,0.0008594046350384861
no_smoothstep,Fitted Cl- smoothstep off,Exp003_B06_SWSu_M,Exp003,6,SWSu_M,0.91868,2.9768313291570707,2.327286576381881,0.1240586138387427,4.856012161569472e-05,0.000859479529047532
no_smoothstep,Fitted Cl- smoothstep off,Exp003_B07_SW_L,Exp003,7,SW_L,0.9625,1.4825345067567817,1.163966936054636,0.0599481807724605,5.145490343468524e-05,0.0009107151032532854
no_smoothstep,Fitted Cl- smoothstep off,Exp003_B08_SWSu_L,Exp003,8,SWSu_L,0.962136,1.4954304258568445,1.1642048853421323,0.0641580510125522,5.1452886526166945e-05,0.0009106794054105749
no_smoothstep,Fitted Cl- smoothstep off,Exp004_B01_C,Exp004,1,C,1.0,0.0,0.0,0.0,8.14477307732134e-05,0.0014415667621459714
no_smoothstep,Fitted Cl- smoothstep off,Exp004_B02_Na_H,Exp004,2,Na_H,0.845,3.593429158110883,3.593429158110883,0.0,4.056851539702753e-05,0.0007180337970225641
no_smoothstep,Fitted Cl- smoothstep off,Exp004_B03_Na_M,Exp004,3,Na_M,0.903,2.395619438526694,2.395619438526694,0.0,4.817053034407027e-05,0.0008525840413198286
no_smoothstep,Fitted Cl- smoothstep off,Exp004_B04_Na_L,Exp004,4,Na_L,0.962,1.197809719584189,1.197809719584189,0.0,5.171963973441403e-05,0.0009154007470005025
no_smoothstep,Fitted Cl- smoothstep off,Exp004_B05_Mg_H,Exp004,5,Mg_H,0.824,5.810378750614854,3.873585833743236,0.0,4.421130670677083e-05,0.0007825086058810473
no_smoothstep,Fitted Cl- smoothstep off,Exp004_B06_Mg_M,Exp004,6,Mg_M,0.902,3.873585833743236,2.582390555828824,0.0,4.911507920846672e-05,0.000869301882752735
no_smoothstep,Fitted Cl- smoothstep off,Exp004_B07_Mg_L,Exp004,7,Mg_L,0.967,1.936792916871618,1.291195277914412,0.0,5.1826088500047116e-05,0.0009172848142538359
no_salt_terms,Both Cl- terms off,Exp003_B01_C,Exp003,1,C,1.0,0.0,0.0,0.0,0.00013591377646392252,0.002405576936375069
no_salt_terms,Both Cl- terms off,Exp003_B02_Su_C,Exp003,2,Su_C,0.9984688668,0.0629937741561728,0.0,0.0209979247187242,0.00012908448213149433,0.002284703296003763
no_salt_terms,Both Cl- terms off,Exp003_B03_SW_H,Exp003,3,SW_H,0.86638,4.461446957060581,3.502769562065931,0.1804043194068395,0.00010803348605659574,0.0019121156749178302
